tahun,bulan,bulan_num,beras_premium,beras_medium,bawang_merah,bawang_putih,cabai_merah_keriting,cabai_rawit_merah,daging_sapi,daging_ayam,telur_ayam,gula_pasir,minyak_goreng_kemasan
2024,Januari,1,15217,13411,37119,38980,52611,56640,135059,36139,28445,17414,17465
2024,Februari,2,16047,14081,34605,39090,62045,58265,134921,36997,29413,17630,17647
2024,Maret,3,16517,14370,34895,41118,58651,59817,136142,38512,31923,17904,19060
2024,April,4,16102,13880,47804,43647,49095,53110,137824,38884,30960,18145,19187
2024,Mei,5,15623,13562,48659,43448,48650,47795,136400,38513,30731,18435,19098
2024,Juni,6,15521,13480,43426,42582,54357,51599,136598,37493,30158,18261,19078
2024,Juli,7,15582,13598,33616,40851,47255,60762,136056,36316,29655,18083,19190
2024,Agustus,8,15606,13643,27097,40258,46252,63725,136007,35809,29069,18003,18195
2024,September,9,15582,13627,27458,39960,38206,48753,135632,35319,28662,17862,18223
2024,Oktober,10,15545,13606,29985,40203,33637,47263,135503,36127,28847,17978,18336
2024,November,11,15491,13534,37628,41214,31690,42951,135508,36778,28716,17993,18485
2024,Desember,12,15474,13518,40850,42574,38610,47066,135781,37469,29950,18021,18783
2025,Januari,1,15442,13546,39040,42525,56445,74250,135258,37495,29859,18098,19963
2025,Februari,2,15500,13613,35844,42696,52937,68786,134708,35981,29440,18331,20426
2025,Maret,3,15545,13696,41458,43839,52791,85030,136146,36400,29665,18513,20621
2025,April,4,15563,13715,44516,44750,58560,77710,136153,35420,29149,18547,20694
2025,Mei,5,15595,13762,39639,42519,49512,52738,135461,34814,29108,18547,20798
2025,Juni,6,15747,13996,42262,39909,44444,54705,135375,35034,29239,18469,20834
2025,Juli,7,16045,14301,46281,39075,44707,64351,135098,35391,29469,18350,20844
2025,Agustus,8,16194,14354,51250,38386,42521,49028,135082,35404,29564,18254,20881
2025,September,9,16080,13945,41919,37607,54876,47269,135132,37569,29778,18151,20922
2025,Oktober,10,15926,13823,38892,37132,56260,43173,135134,38037,30437,18051,20956
2025,November,11,15572,13564,39873,36829,53794,41694,135170,37628,30525,17993,20939
2025,Desember,12,15549,13540,47236,37823,57503,67666,135300,39810,31390,18044,20957
