tahun,bulan,bulan_num,"a. Pertanian, Kehutanan dan Perikanan",b. Pertambangan dan Penggalian
2024,Januari,1,295.668858157,42.064449664
2024,Februari,2,341.787110353,51.600010021
2024,Maret,3,410.669648896,41.617870066
2024,April,4,222.56238726,24.129418576
2024,Mei,5,389.834886743,32.654102529
2024,Juni,6,390.269427934,47.666113525
2024,Juli,7,413.490295259,44.888508797
2024,Agustus,8,371.071132929,53.840254482
2024,September,9,322.973163989,41.425715718
2024,Oktober,10,338.258405019,95.561141566
2024,November,11,364.153003777,73.889760005
2024,Desember,12,452.883668827,52.875132375
2025,Januari,1,383.989007502,60.56490381
2025,Februari,2,475.267823617,46.559083554
2025,Maret,3,448.003458298,38.536027939
2025,April,4,357.605292467,21.895478424
2025,Mei,5,407.563737234,26.018081673
2025,Juni,6,239.664396311,49.059215347
2025,Juli,7,352.361788826,64.69314647
2025,Agustus,8,380.846593889,63.522280889
2025,September,9,421.689551784,63.389921178
2025,Oktober,10,436.022141974,54.283199468
2025,November,11,325.749929864,27.071477278
2025,Desember,12,405.978139823,38.917325417
