komoditas,indikator_ojk,lag_bulan,korelasi
Beras Premium,ojk_tkb90,0,0.05323084720738402
Beras Premium,ojk_tkb90,1,-0.1150567441813987
Beras Premium,ojk_tkb90,2,-0.5368686838552582
Beras Premium,ojk_twp90,0,-0.05323084720738261
Beras Premium,ojk_twp90,1,0.11505674418140079
Beras Premium,ojk_twp90,2,0.5368686838552579
Beras Premium,ojk_roa,0,0.032966829533502454
Beras Premium,ojk_roa,1,-0.07060110230727858
Beras Premium,ojk_roa,2,0.015281600838875746
Beras Premium,ojk_roe,0,0.002559705788757505
Beras Premium,ojk_roe,1,-0.13957818300601646
Beras Premium,ojk_roe,2,-0.06387285731144929
Beras Premium,ojk_bopo,0,-0.005563982377433925
Beras Premium,ojk_bopo,1,0.3601589152453058
Beras Premium,ojk_bopo,2,0.35445901080829584
Beras Premium,ojk_penyaluran_pertanian_miliar,0,-0.06695795743694113
Beras Premium,ojk_penyaluran_pertanian_miliar,1,-0.25816589720530386
Beras Premium,ojk_penyaluran_pertanian_miliar,2,-0.39863106335797394
Beras Medium,ojk_tkb90,0,0.1090710399654561
Beras Medium,ojk_tkb90,1,-0.09548588582091555
Beras Medium,ojk_tkb90,2,-0.5660969119095519
Beras Medium,ojk_twp90,0,-0.10907103996545475
Beras Medium,ojk_twp90,1,0.09548588582091824
Beras Medium,ojk_twp90,2,0.566096911909554
Beras Medium,ojk_roa,0,0.17675672531271855
Beras Medium,ojk_roa,1,0.09699780144800253
Beras Medium,ojk_roa,2,0.18072002616431282
Beras Medium,ojk_roe,0,0.13397321466627873
Beras Medium,ojk_roe,1,0.023509626153809055
Beras Medium,ojk_roe,2,0.10387722207466113
Beras Medium,ojk_bopo,0,-0.03950498088551461
Beras Medium,ojk_bopo,1,0.24388983914277515
Beras Medium,ojk_bopo,2,0.17287773646653856
Beras Medium,ojk_penyaluran_pertanian_miliar,0,-0.105284647205997
Beras Medium,ojk_penyaluran_pertanian_miliar,1,-0.27413272456093907
Beras Medium,ojk_penyaluran_pertanian_miliar,2,-0.30367717291889407
Bawang Merah,ojk_tkb90,0,-0.3471234572787142
Bawang Merah,ojk_tkb90,1,-0.4509715182305972
Bawang Merah,ojk_tkb90,2,-0.4244209519425546
Bawang Merah,ojk_twp90,0,0.34712345727871036
Bawang Merah,ojk_twp90,1,0.45097151823059406
Bawang Merah,ojk_twp90,2,0.42442095194255686
Bawang Merah,ojk_roa,0,0.3540315228750775
Bawang Merah,ojk_roa,1,0.4307389606259893
Bawang Merah,ojk_roa,2,0.2821037255119303
Bawang Merah,ojk_roe,0,0.31319802687090853
Bawang Merah,ojk_roe,1,0.39019021468734516
Bawang Merah,ojk_roe,2,0.21715019643177647
Bawang Merah,ojk_bopo,0,-0.4463359707108841
Bawang Merah,ojk_bopo,1,-0.39951422355401656
Bawang Merah,ojk_bopo,2,-0.056355627578254
Bawang Merah,ojk_penyaluran_pertanian_miliar,0,-0.04613635751311227
Bawang Merah,ojk_penyaluran_pertanian_miliar,1,-0.15674347815380665
Bawang Merah,ojk_penyaluran_pertanian_miliar,2,-0.17591258315074645
Bawang Putih,ojk_tkb90,0,0.3421298025073774
Bawang Putih,ojk_tkb90,1,0.21316743115616335
Bawang Putih,ojk_tkb90,2,0.10257927998059835
Bawang Putih,ojk_twp90,0,-0.3421298025073759
Bawang Putih,ojk_twp90,1,-0.2131674311561635
Bawang Putih,ojk_twp90,2,-0.10257927998059703
Bawang Putih,ojk_roa,0,-0.21452272478709483
Bawang Putih,ojk_roa,1,-0.29000948801773563
Bawang Putih,ojk_roa,2,-0.4902202595359869
Bawang Putih,ojk_roe,0,-0.2027721059204579
Bawang Putih,ojk_roe,1,-0.2749398420757788
Bawang Putih,ojk_roe,2,-0.4738571786023448
Bawang Putih,ojk_bopo,0,-0.13358180633100353
Bawang Putih,ojk_bopo,1,-0.01571462813900173
Bawang Putih,ojk_bopo,2,0.27946045161100735
Bawang Putih,ojk_penyaluran_pertanian_miliar,0,0.10178354488804636
Bawang Putih,ojk_penyaluran_pertanian_miliar,1,0.1601280079562241
Bawang Putih,ojk_penyaluran_pertanian_miliar,2,0.07272738352703562
Cabai Merah Keriting,ojk_tkb90,0,-0.47238521840580977
Cabai Merah Keriting,ojk_tkb90,1,-0.4670003551566419
Cabai Merah Keriting,ojk_tkb90,2,-0.34953118516355103
Cabai Merah Keriting,ojk_twp90,0,0.4723852184058139
Cabai Merah Keriting,ojk_twp90,1,0.4670003551566401
Cabai Merah Keriting,ojk_twp90,2,0.34953118516353776
Cabai Merah Keriting,ojk_roa,0,-0.03827509205915044
Cabai Merah Keriting,ojk_roa,1,0.12917449465390304
Cabai Merah Keriting,ojk_roa,2,0.18881900451593192
